电影名,评分,看过人数,想看人数,评论数,票房（万）,主演微博粉丝数,
羞羞的铁拳,7,311077,30752,132189,220174.9,5148868,
战狼2,7.2,485451,74352,223296,567874.7,11363542,
那年八岁,7.5,525,1014,251,0.1,0.1,（新片数据不足，可以剔除）
绣春刀II：修罗战场,7.3,197496,21185,86234,26569.4,78400403,
乘风破浪,6.8,328858,20716,137599,104853,27509436,
嘉年华,8.4,79702,59970,33885,2220.3,6634,
缝纫机乐队,6.7,136623,10116,61396,45671.3,14581933,
追龙,7.3,118489,19120,46367,57465.3,10069591,
驴得水,8.3,344684,38319,130758,17305.8,324898,
大护法,7.8,186354,36972,83537,8760.3,66880,
湄公河行动,8,389873,29547,139562,118458.8,27509436,
相爱相亲,8.5,66573,45949,30539,1824.3,13069,
七月与安生,7.6,296177,19739,113748,16695.2,18640586,
美人鱼,6.8,451092,33489,179868,339210.9,51760734,
喜欢你,6.8,169403,14041,77757,21074.8,18640586,
记忆大师,7.2,174427,27183,71400,29292,32893327,
罗曼蒂克消亡史,7.7,219785,36552,85134,12297.3,27301768,
闪光少女,7.3,81392,17796,39498,6485,10247892,
暴雪将至,7,60450,23445,24535,2713.2,4276701,
春娇救志明,7.1,130191,19855,51332,17554.9,13998724,
大鱼海棠,6.6,259062,32196,126931,56533.3,5123279,
西游伏妖篇,5.6,245907,22309,129848,165592.4,41271483,
嫌疑人X的献身,6.4,157709,22588,72819,40202,15178416,
悟空传,5.1,140319,31954,72764,69653.6,27509436,
七十七天,6.5,22657,8687,12018,10362.4,100000,
长城,4.9,248825,21204,134890,117456.9,17557087,
目击者之追凶,8.1,57963,31810,21606,-,-,（没在内地上映，可以剔除）
三生三世十里桃花,4,138944,28669,84988,53454.3,42356927,
杀破狼·贪狼,7.1,89403,11313,37724,52157.6,10861298,
妖铃铃,4.7,30733,10271,17574,36230.6,15003232,
我不是潘金莲,6.7,169859,20665,70548,48372.2,60966244,
一念无明,7.9,51937,32716,21161,940.5,8991234,
火锅英雄,7.2,202527,9138,72397,37053.3,82177704,
从你的全世界路过,5.2,178150,13724,81909,81422,20961713,
功夫瑜伽,5,112586,14793,54345,175259.9,30222839,
追凶者也,7.6,129605,18952,46874,13589.4,52775709,
北京遇上西雅图之不二情书,6.5,172277,8163,67335,78679,9125022,
十万个冷笑话2,7.4,48207,14477,21426,13363.1,1639416,
明月几时有,7,53940,22538,24392,6294.5,4869474,
心理罪,5,74311,15572,40057,30397.4,39633302,
